Order Id,Order #,Checks,Opened,# of Guests,Tab Names,Server,Table,Revenue Center,Dining Area,Service,Dining Options,Discount Amount,Amount,Tax,Tip,Gratuity,Total,Voided,Paid,Closed,Duration (Opened to Paid),Order Source
5E+17,35,35,1/3/2021 17:45,1,,,,None,,Dinner,Take Out,0,17.36,1.17,3.47,0,22,FALSE,1/3/2021 17:46,1/3/2021 17:46,0:00:59,In Store
5E+17,36,36,1/3/2021 17:56,1,,,,None,,Dinner,DoorDash,0,35.51,2.4,0,0,37.91,FALSE,1/3/2021 17:56,1/3/2021 17:56,,API
5E+17,37,37,1/3/2021 17:57,1,,,,None,,Dinner,Take Out,0,17.36,1.17,0,0,18.53,FALSE,1/3/2021 17:58,1/3/2021 17:58,0:01:08,In Store
5E+17,39,39,1/3/2021 18:02,1,,,,None,,Dinner,DoorDash,0,11.39,0.76,0,0,12.15,FALSE,1/3/2021 18:02,1/3/2021 18:02,,API
5E+17,38,38,1/3/2021 18:01,1,,,,None,,Dinner,Take Out,0,66.06,4.41,7,0,77.47,FALSE,1/3/2021 18:01,1/4/2021 4:12,,Online
5E+17,40,40,1/3/2021 18:07,1,,,,None,,Dinner,DoorDash,0,52.11,3.49,0,0,55.6,FALSE,1/3/2021 18:07,1/3/2021 18:07,,API
5E+17,42,42,1/3/2021 18:35,1,,,,None,,Dinner,Take Out,0,18.57,1.24,0,0,19.81,FALSE,1/3/2021 18:35,1/4/2021 4:12,,Online
5E+17,43,43,1/3/2021 18:39,1,,,,None,,Dinner,Take Out,0,60.85,4.06,5.09,0,70,FALSE,1/3/2021 18:39,1/6/2021 4:12,,Online
5E+17,44,44,1/3/2021 18:41,1,,,,None,,Dinner,Take Out,0,15.96,1.07,0,0,17.03,FALSE,1/3/2021 19:12,1/3/2021 19:12,0:30:58,In Store
5E+17,1,1,1/5/2021 11:08,1,,,,None,,Lunch,DoorDash,0,14.98,1,0,0,15.98,FALSE,1/5/2021 11:08,1/5/2021 11:08,,API
5E+17,2,2,1/5/2021 11:08,1,,,,None,,Lunch,Take Out,0,11.38,0.77,0,0,12.15,FALSE,1/5/2021 11:32,1/5/2021 11:32,0:23:35,In Store
5E+17,3,3,1/5/2021 11:12,1,,,,None,,Lunch,Take Out,0,12.66,0.86,0,0,13.52,FALSE,1/5/2021 11:46,1/5/2021 11:46,0:33:23,In Store
5E+17,4,4,1/5/2021 11:51,1,,,,None,,Lunch,Take Out,0,26.51,1.77,5.3,0,33.58,FALSE,1/5/2021 12:52,1/5/2021 12:52,1:01:25,In Store
5E+17,5,5,1/5/2021 12:48,1,,,,None,,Lunch,Take Out,0,12.56,0.84,0,0,13.4,FALSE,1/5/2021 12:49,1/5/2021 12:49,0:00:46,In Store
5E+17,6,6,1/5/2021 12:52,1,,,,None,,Lunch,Take Out,0,20.74,1.38,3.11,0,25.23,FALSE,1/5/2021 13:29,1/5/2021 13:29,0:36:52,In Store
5E+17,7,7,1/5/2021 12:53,1,,,,None,,Lunch,Take Out,0,21.55,1.44,0,0,22.99,FALSE,1/5/2021 13:10,1/5/2021 13:10,0:16:37,In Store
5E+17,9,9,1/5/2021 13:07,1,,,,None,,Lunch,DoorDash,0,11.38,0.76,0,0,12.14,FALSE,1/5/2021 13:07,1/5/2021 13:07,,API
5E+17,10,10,1/5/2021 13:12,1,,,,None,,Lunch,Take Out,0,11.56,0.77,0,0,12.33,FALSE,1/5/2021 13:35,1/5/2021 13:35,0:22:43,In Store
5E+17,11,11,1/5/2021 13:29,1,,,,None,,Lunch,Take Out,0,25.32,1.7,3.8,0,30.82,FALSE,1/5/2021 13:30,1/5/2021 13:30,0:01:07,In Store
5E+17,12,12,1/5/2021 13:35,1,,,,None,,Lunch,Take Out,0,13.48,0.91,3.37,0,17.76,FALSE,1/5/2021 13:36,1/5/2021 13:36,0:00:39,In Store
5E+17,15,15,1/5/2021 13:53,1,,,,None,,Lunch,DoorDash,0,10.37,0.7,0,0,11.07,FALSE,1/5/2021 13:53,1/5/2021 13:53,,API
5E+17,13,13,1/5/2021 13:36,1,,,,None,,Lunch,Take Out,0,15.07,1.02,3.77,0,19.86,FALSE,1/5/2021 13:52,1/5/2021 13:52,0:16:16,In Store
5E+17,14,14,1/5/2021 13:52,1,,,,None,,Lunch,Take Out,0,8.87,0.6,0,0,9.47,FALSE,1/5/2021 14:29,1/5/2021 14:29,0:36:48,In Store
5E+17,16,16,1/5/2021 14:29,1,,,,None,,Lunch,Take Out,0,22.94,1.54,0,0,24.48,FALSE,1/5/2021 14:30,1/5/2021 14:30,0:01:10,In Store
5E+17,17,17,1/5/2021 14:30,1,,,,None,,Lunch,Take Out,0,31.05,2.09,0,0,33.14,FALSE,1/5/2021 14:54,1/5/2021 14:54,0:24:08,In Store
5E+17,18,18,1/5/2021 16:07,1,,,,None,,Dinner,Take Out,0,16.18,1.08,0,0,17.26,FALSE,1/5/2021 16:08,1/5/2021 16:08,0:00:47,In Store
5E+17,19,19,1/5/2021 16:08,1,,,,None,,Dinner,Take Out,0,5.99,0.4,1,0,7.39,FALSE,1/5/2021 17:13,1/5/2021 17:13,1:04:59,In Store
5E+17,20,20,1/5/2021 16:54,1,,,,None,,Dinner,Take Out,0,19.16,1.29,0,0,20.45,FALSE,1/5/2021 17:26,1/5/2021 17:26,0:32:28,In Store
5E+17,22,22,1/5/2021 17:15,1,,,,None,,Dinner,Take Out,0,29.55,1.97,0,0,31.52,FALSE,1/5/2021 17:58,1/5/2021 17:58,0:43:59,Online
5E+17,25,25,1/5/2021 18:02,1,,,,None,,Dinner,Take Out,0,55.79,3.73,0,0,59.52,FALSE,1/5/2021 18:02,1/6/2021 4:12,,Online
5E+17,23,23,1/5/2021 18:01,1,,,,None,,Dinner,Take Out,0,47.52,3.19,5,0,55.71,FALSE,1/5/2021 18:28,1/5/2021 18:28,0:26:57,In Store
5E+17,26,26,1/5/2021 18:10,1,,,,None,,Dinner,DoorDash,0,22.78,1.52,0,0,24.3,FALSE,1/5/2021 18:10,1/5/2021 18:10,,API
5E+17,27,27,1/5/2021 18:46,1,,,,None,,Dinner,Take Out,0,19.74,1.33,0,0,21.07,FALSE,1/5/2021 18:47,1/5/2021 18:47,0:01:13,In Store
5E+17,28,28,1/5/2021 18:58,1,,,,None,,Dinner,Take Out,0,2.29,0.16,0,0,2.45,FALSE,1/5/2021 19:36,1/5/2021 19:36,0:37:51,In Store
5E+17,1,1,1/6/2021 11:35,1,,,,None,,Lunch,Take Out,0,25.03,1.69,0,0,26.72,FALSE,1/6/2021 11:51,1/6/2021 11:51,0:16:49,In Store
5E+17,3,3,1/6/2021 11:48,1,,,,None,,Lunch,Delivery by DoorDash,0,0,0,0,0,0,TRUE,1/6/2021 11:48,1/12/2021 18:04,,Online
5E+17,4,4,1/6/2021 11:50,1,,,,None,,Lunch,Take Out,0,10.37,0.69,0,0,11.06,FALSE,1/6/2021 12:06,1/6/2021 12:06,0:15:33,In Store
5E+17,5,5,1/6/2021 12:11,1,,,,None,,Lunch,Take Out,0,12.77,0.86,2.55,0,16.18,FALSE,1/6/2021 12:18,1/6/2021 12:18,0:07:01,In Store
5E+17,6,6,1/6/2021 12:29,1,,,,None,,Lunch,Take Out,0,19.84,1.34,0,0,21.18,FALSE,1/6/2021 12:30,1/6/2021 12:30,0:01:09,In Store
5E+17,7,7,1/6/2021 12:30,1,,,,None,,Lunch,Take Out,0,11.56,0.77,0,0,12.33,FALSE,1/6/2021 12:40,1/6/2021 12:40,0:09:32,In Store
5E+17,8,8,1/6/2021 12:47,1,,,,None,,Lunch,Take Out,0,11.77,0.79,0,0,12.56,FALSE,1/6/2021 12:47,1/7/2021 4:12,,Online
5E+17,9,9,1/6/2021 13:00,1,,,,None,,Lunch,Take Out,0,9.58,0.65,0,0,10.23,FALSE,1/6/2021 13:01,1/6/2021 13:01,0:00:43,In Store
5E+17,10,10,1/6/2021 13:07,1,,,,None,,Lunch,Take Out,0,22.17,1.49,0,0,23.66,FALSE,1/6/2021 13:09,1/6/2021 13:09,0:01:46,In Store
5E+17,11,11,1/6/2021 13:09,1,,,,None,,Lunch,Take Out,0,15.76,1.06,0,0,16.82,FALSE,1/6/2021 13:11,1/6/2021 13:11,0:02:34,In Store
5E+17,12,12,1/6/2021 13:11,1,,,,None,,Lunch,Take Out,0,12.56,0.84,2.51,0,15.91,FALSE,1/6/2021 13:12,1/6/2021 13:12,0:00:57,In Store
5E+17,13,13,1/6/2021 13:12,1,,,,None,,Lunch,Take Out,0,2.29,0.16,1,0,3.45,FALSE,1/6/2021 13:28,1/6/2021 13:28,0:15:23,In Store
5E+17,15,15,1/6/2021 13:49,1,,,,None,,Lunch,DoorDash,0,35.83,2.4,0,0,38.23,FALSE,1/6/2021 13:49,1/6/2021 13:49,,API
5E+17,16,16,1/6/2021 13:54,1,,,,None,,Lunch,DoorDash,0,32.32,2.16,0,0,34.48,FALSE,1/6/2021 13:55,1/6/2021 13:55,,API
5E+17,14,14,1/6/2021 13:28,1,,,,None,,Lunch,Take Out,0,4.58,0.31,0,0,4.89,FALSE,1/6/2021 14:11,1/6/2021 14:11,0:43:11,In Store
5E+17,17,17,1/6/2021 14:11,1,,,,None,,Lunch,Take Out,0,4.19,0.28,0,0,4.47,FALSE,1/6/2021 15:03,1/6/2021 15:03,0:51:25,In Store
5E+17,19,19,1/6/2021 15:29,1,,,,None,,Lunch,DoorDash,0,13.56,0.91,0,0,14.47,FALSE,1/6/2021 15:29,1/6/2021 15:29,,API
5E+17,18,18,1/6/2021 15:28,1,,,,None,,Lunch,Take Out,0,30.93,2.07,0,0,33,FALSE,1/6/2021 16:22,1/6/2021 16:22,0:53:11,In Store
5E+17,20,20,1/6/2021 16:49,1,,,,None,,Dinner,Take Out,0,38.15,2.56,0,0,40.71,FALSE,1/6/2021 17:11,1/7/2021 4:12,0:22:17,Online
5E+17,21,21,1/6/2021 18:09,1,,,,None,,Dinner,Take Out,0,22.36,1.5,0,0,23.86,FALSE,1/6/2021 18:09,1/7/2021 4:12,,Online
5E+17,24,24,1/6/2021 18:24,1,,,,None,,Dinner,DoorDash,0,20.76,1.39,0,0,22.15,FALSE,1/6/2021 18:24,1/6/2021 18:24,,API
5E+17,23,23,1/6/2021 18:15,1,,,,None,,Dinner,Take Out,0,43.31,2.91,8.66,0,54.88,FALSE,1/6/2021 18:31,1/6/2021 18:31,0:16:11,In Store
5E+17,26,26,1/6/2021 18:43,1,,,,None,,Dinner,Take Out,0,18.56,1.24,2.78,0,22.58,FALSE,1/6/2021 18:43,1/7/2021 4:12,,Online
5E+17,27,27,1/6/2021 18:53,1,,,,None,,Dinner,DoorDash,0,17.95,1.2,0,0,19.15,FALSE,1/6/2021 18:53,1/6/2021 18:53,,API
