,index,Text,Sentiment,Sentiment_score,Dominant_Topic,Topic_Keywords,Date
17,17,"The current ownership has raised the bar extremely high as to both food quality and service! During the pandemic, they have graciously delivered the food to my car, something other eateries in Clinton and Annandale should more readily do! The onion rings are incredibly good. Cheesesteaks and eggplant parm are top notch and the rolls are outstanding! My wife enjoys building her own burger and enjoys both their beef and turkey patties. This is a not to miss establishment in Clinton!l In fact, we hope to order lunch their today!!",Positive,0.3986111111111111,3.0,"burger, burgers, fry, good, great, like, nice, bacon, rare, delicious",20-Nov
18,18,"IÂm not saying you have to come for a well cooked, awesome tasting burger but IÂm saying you should. IÂve also had some good Mac & cheese bites but these ones will blow you away! If I could give a 12 star rating I totally would!",Positive,0.625,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",20-Nov
19,19,"Tried for the first time. Burgers were ample size and fries and onion rings were excellent. No soda fountain but a fridge case with a variety of bottles. The cashier/ order taker came out to clean tables and didn't check on us to see how we were doing. If she did, I would have told her about the horrendous gnat problem coming from the garbage/ recycling receptacles. I would go back, hoping the gnat problem was fixed.",Positive,0.3433333333333334,5.0,"burger, fry, great, burgers, good, hear, like, johnny, cook, juicy",20-Oct
20,20,Very good burger. Had the Clinton BÂs burger which had a little kick (spicy) due to jalapeÃ±os. Was very tasty and well priced. Would try the place again. Sorry my photo isnÂt the best.,Positive,0.2162499999999999,0.0,"burger, fry, well, burgers, good, definitely, tasty, better, best, sandwich",20-Oct
21,21,Burgers and sandwiches are delicious. Sides were good as well. Good local spot for lunch. Order on line and pickup not a problem.,Positive,0.6,0.0,"burger, fry, well, burgers, good, definitely, tasty, better, best, sandwich",20-Oct
22,22,Love the variety of burgers. Can't wait for the dining room to reopen.,Positive,0.5,0.0,"burger, fry, well, burgers, good, definitely, tasty, better, best, sandwich",20-Sep
23,23,Food cooked fresh and friendly service.,Positive,0.3375,1.0,"burgers, burger, fry, great, best, service, like, fresh, good, clinton",20-Sep
24,24,"I guess its fair to say, that you should order burgers from this place. nothing else. Just ordered a panini, which was a bunch of stuff cooked on a griddle, then loosely placed in between 2 halfs of a pita bread. Its edible, thats about it. The chicken was all dry and over cooked. I cook better at home than this.",Positive,0.0912820512820512,4.0,"burgers, great, fry, cook, price, next, size, home, back, good",20-Sep
25,25,Great burger! And it was huge!!! Had burger with chorizo. Spent last 16 years in SoCal so I know the taste of good chorizo. This burger was great. Also ordered fries - hot and tasty. Highly recommend and will definitely be back!!,Positive,0.3990277777777777,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",20-Sep
26,26,"They have Excellent Quality burger meat and food selections for your hankering for a Great Burger, or other choice of food!",Positive,0.5479166666666667,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",20-Aug
27,27,"Ok food, poor customer service, no working restroom (occurring problem if you read other reviews) I would find somewhere else to spend your money. It's ok. Everything was fresh & hot when we got it. Nothing to brag about.Walked in for first time, nobody at counter. Do it yourself dirty touchscreen in Covid conditions is poor choice. Waited for young man to come to counter. He said nothing. Just stared at us. No greeting of any kind at all. We are not local. Maybe for locals by comparison this is good burger place. It is not.I had build your own burger. Ingredients not fresh. Canned slice of pineapple. Bacon clearly cooked much earlier in day. Very skimpy on Hawaiian sauce. The chicken was tender, so that's something. Fries are really good. My kids had chicken fingers. They were happy. Only reason I give 3 stars and not 2, it was fast. But the same pleasant young man who didn't greet us, literally walked out to hand us bag of food, once again said NOTHING. Rude.",Positive,0.1235119047619048,1.0,"burgers, burger, fry, great, best, service, like, fresh, good, clinton",20-Jul
28,28,"For a place that specializes in burgers it was really mediocre. The bun was stale and too big for the size of the burger, they messed up the burger with the wrong cheese, and the meat was only ok. I ordered the regular french fries and got fries that had some kind of cajun seasoning on them. Milkshake was pretty good, but that's about the only good thing I can say.",Positive,0.0961538461538461,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",20-Jul
29,29,We just moved here from Saint Louis and we happened to pass by this place on the way to our hotel and decided to grab a bit to eat.The food was great and we were able to speak to the kind owner who explained everything we had questions on.We will be living fairly close to this place so we will be returning.,Positive,0.6499999999999999,4.0,"burgers, great, fry, cook, price, next, size, home, back, good",20-Jul
30,30,"Delicious, well cooked hot dogs, with somecof the best cajun fries I've had. Delicious milk shake to drink. Well handled menu for burger listings, and great customer service. Tons of outdoor seating with a view of the river out back.",Positive,0.6749999999999999,1.0,"burgers, burger, fry, great, best, service, like, fresh, good, clinton",20-Jun
31,31,So good! And the portions are very generous. I'd definitely visit again.,Positive,0.3583333333333333,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",20-Jun
32,32,"We finally ordered from here because we heard great reviews. We are supporting small businesses during this difficult time. We ordered a well done Clinton""B's"" burger along with other items. The burger was cold and extremely rare. Did not go back because we hardly go out to public places. The rest was ok.",Positive,0.0069444444444444,3.0,"burger, burgers, fry, good, great, like, nice, bacon, rare, delicious",20-Apr
33,33,"EXCELLENT! Tasty burgers (1 beef & 1 lamb) perfectly cooked as ordered, fantastic fries (not overly salted which we like). Great service.",Positive,0.8,5.0,"burger, fry, great, burgers, good, hear, like, johnny, cook, juicy",20-Apr
34,34,"Great food! Generous portions and very affordable! We have tried chicken fingers, fries, and burgers! Online ordering and fast and easy pickup! A great addition to our wonderful town",Positive,0.4345238095238096,4.0,"burgers, great, fry, cook, price, next, size, home, back, good",20-Apr
35,35,"good burger! nice service, though the self serve machine was not working the staff was very helpful",Positive,0.5583333333333333,3.0,"burger, burgers, fry, good, great, like, nice, bacon, rare, delicious",20-Apr
36,36,"This is one of my favorite places in the area to get a burger. The burgers are delicious, all of the ingredients taste like they are high quality. I'm a fan of anything with bacon on it, and I love the bacon they use, it's cooked perfectly to a give it a nice crisp. Also, the thick cut french fries are amazing. Staff is very friendly. Overall I've never had a bad experience here, and always look forward to going.",Positive,0.3151923076923077,3.0,"burger, burgers, fry, good, great, like, nice, bacon, rare, delicious",20-Mar
37,37,Been here a few times and it's good but nothing really fantastic that makes me want to come back. Good but pretty average.,Positive,0.2428571428571428,2.0,"good, burger, great, fry, price, service, also, nice, get, burgers",20-Mar
